job_name,company_name,region,hands_on_background,academic_requirement,how_many,functional_categories,work_place,job_information,company_url,num_of_companies
Java高级开发工程师,广州信盛通信科技有限公司,广州-白云区,2年经验,本科,招1人,   高级软件工程师,  上班地址：太和镇民营科技园科创路39号,"1、负责物联网云平台的技术研发；,2、参与项目的架构设计、评审、技术攻坚及优化；,,工作要求：,1、计算机相关专业本科以上学历，1年以上开发工作经验；,2、精通JAVA，熟悉常用技术框架和构建工具；,3、熟悉Linux/Unix开发环境,并能够通过shell/python/perl等脚本语言提高工作效率；,4、精通TCP/IP与HTTP等网络协议相关知识，精通网络编程和多线程/多进程开发;,5、熟悉Mysql数据库开发，熟悉NoSQL，如memcache/redis/hbase；,6、软件知识结构全面，基本功扎实。良好的团队合作能力，善于沟通，热爱开发事业。,,加分项：,海量数据处理，大规模分布式系统设计和开发经验者,有物联网开发经验,Docker/DevOps,Kafka，ELK",http://www.maxfaith.com.cn,50-150人
Unity3d 开发工程师,广东承石网络科技有限公司,广州-白云区,1年经验,本科,招5人,   高级软件工程师,  上班地址：鹤龙街鹤龙路8号海峡两岸（汇龙）信息产业科技园B区第一层B118号,"1、负责游戏各功能的方案沟通、开发和维护；,2、负责编写项目开发工具并跟进后续使用及改进；,3、负责定位和解决运行期性能热点；,4、负责Android和iOS平台的SDK接入；,任职要求,1、计算机软件相关行业本科及以上学历；,2、有unity开发经验，参与一或多款项目的完整开发者优先；,3、熟悉Python或者Lua脚本语言优先；,4、熟悉Android和iOS平台调试和发布；,5、扎实的3D图形学基础，理解unity底层渲染机制及调优方案；,6、热爱游戏，有较强的沟通能力、逻辑清晰、表达流畅、态度谦和；,7、有Shader编写能力尤佳；,8、有个人作品尤佳；",http://gdcskj.chci.cn/,少于50人
系统架构师,广州OPPO,广州-白云区,1年经验,本科,招1人,   系统架构设计师,  上班地址：明珠北路广州OPPO,"岗位职责 ,1、参与企业IT平台的设计及方案实施落地；,2、负责企业IT平台开发，以及平台持续优化；,3、负责技术问题的攻关，项目重点、难点的技术攻坚，为项目开发过程提供技术支持。,任职要求,1、本科及以上学历，计算机相关专业；,2、至少精通Java、Python、Scala、GO其中之一；,3、熟悉互联网中间件，如消息队列等技术。,4、熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息、负载均衡等机制和实现；,5、熟悉Kurbenates，能够熟练操作部署K8S环境；,6、理解微服务架构的理念，实际开发、部署、运营过微服务应用者优先考虑；,,·能力优秀者可提高待遇，具体在面试中沟通。,·工作地点：地铁2号线白云文化广场A出口附近",http://www.gzpingshi.com,1000-5000人
网络运维实习生,桥集拉德外贸综合服务（广州）有限...,广州-白云区,无工作经验,大专,招3人,   技术支持维护工程师,  上班地址：丛云路0765号云山金谷创意园C栋6楼整层,"岗位职责：,1. 负责日常网络及各子系统管理维护;,,2. 负责协助运维工程师设计并部署相关应用平台，并提出平台的实施、运行报告;,,3. 负责协助配合运维工程师开发搭建测试平台，协助开发设计、推行、实施和持续改进;,,4. 负责相关故障、疑难问题排查处理，编制汇总故障、问题，定期提交汇总报告;,,5. 负责网络监控和应急反应，以确保网络系统有7*24小时的持续运作能力;,,6、负责日常系统维护，及监控，提供IT软硬件方面的服务和支持，保证系统的稳定,,岗位要求：,1. 计算机相关专业大专以上学历优先；,2. 能熟练使用office，ppt制作优秀者优先；,3.有局域网、外网的配置、管理、维护及排障经验，并具有一定的网络规划能力；,4.熟练掌握网页编辑，有良好的沟通协作能力及文案水平；,5.熟悉C/C++/Java/Python语言编程，对数据结构和算法设计有较为深刻的理解；,6.熟练掌握软文、交换链接、邮件推广、SNS推广，利用各种网络平台，通过信息发布、论坛、博客及其它特殊的推广方式；,7.能兼任产品助理者优先,,,工作时间：周一至周五 9:00am-6:00pm （做五休二，双休）,面试地址：广州白云区丛云路0765号云山金谷创意园C栋6楼,联系人：黄小姐,联系方式：18824100240",http://www.lc-shipping.com,50-150人
系统工程师,恒企教育,广州-白云区,2年经验,大专,招1人,   系统工程师,  上班地址：永泰永平泰兴路4号恒企大厦,"岗位职责：,1、负责公司系统项目的安装、升级、扩容需求与资源落实，配合开发需求，测试、监控、调整运维平台；,2、负责网络以及服务器的网络设置、维护和优化、网络的安全监控、系统性能管理和优化、网络性能管理和优化；,3、负责设计并部署相关应用平台，并提出平台的实施、运行报告；,4、负责配合开发搭建测试平台；,5、负责相关故障、疑难问题排查处理，编制汇总故障、问题，定期提交汇总报告；,6、定期对所有服务问题进行分析，并对服务效率有影响的问题提供反馈意见。,,任职要求：,1、 熟悉Windows、Linux系统及常用的开源软件，如：squid、apache、nginx、LVS、nagios、zabbix等；,2、 熟练使用shell及Linux相关系统命令，了解python、perl等脚本语言；,3、 熟悉nosql相关数据库如redis、mongodb等；,4、 对Oracle和MySQL数据库较为了解，能够进行一些调优工作；,5、 对网络相关原理有一定了解，熟悉TCP/IP协议，熟悉办公网络环境搭建者优先；,6、 有较强的沟通协作能力，做事积极负责，有较强的学习能力,有责任心、细心、进取心；,7、 有私有云虚拟化环境经验、javaweb项目维护经验、大型应用及数据库集群经验等优先。,,福利待遇：,1、 工资构成：基本工资+绩效+工龄工资+全勤奖+年底双薪；,2、 公司为员工统一购买五险一金，入职即购买；,3、 员工享有国家规定的法定节假日，还享有带薪年假；,4、 享有公司节日慰问、喜庆贺礼的福利；,5、 员工健康服务计划定期体检；,6、 定期/不定期的员工团队建设活动；,7、完善的晋升制度，广阔的晋升通道。",http://www.hqjy.com,1000-5000人
python测试工程师,广州市华誉电脑系统有限公司,广州-白云区,1年经验,大专,招若干人,   软件测试,  上班地址：广州市白云区远景路穗景大厦C座3楼3G,"  ,1. 熟悉软件测试流程，掌握软件测试理论和方法；,  ,2. 快速深入理解产品需求，深入了解系统结构，有针对性的规划并执行好各项测试工作，包括功能测试、性能测试、可用性评估测试、可靠性评估测试等；,  ,3. 在测试各个环节与开发、产品等部门沟通并保证测试输入输出的正确性和完备性，并协助开发人员进行问题定位和解决；,  ,4. 执行具体测试任务并确认测试结果、缺陷跟踪、完成测试报告及测试结果分析；,  ,5. 完成产品缺陷验证和确认，对于难与重现的缺陷，需要完成可能性的分析与验证。,  ,,  ,任职资格：,  ,1、大专以上学历，1年以上开发或测试工作经验，有独立负责产品全流程质量保障测试经验；,  ,2、熟悉软件开发过程,精通测试方案和用例设计、单元测试、集成接口测试、压力测试脚本设计、系统性能测试方法；,  ,3、精通python，熟练使用Django等框架；,  ,4、工作细致认真，有耐心，拥有较好的沟通技巧及团队合作精神，较强的责任感及进取精神。,  ",http://www.welltitled.com,50-150人
