job_name,company_name,job_url,work_place,salary,publish_time
网络运维工程师,广州软云计算机科技有限公司,https://jobs.51job.com/guangzhou-thq/104610250.html?s=01&t=0,广州-天河区,3-6千/月,12-07
数据建模分析师,广州谐和信息科技发展有限公司,https://jobs.51job.com/guangzhou-thq/108235007.html?s=01&t=0,广州-天河区,10.0-15.0千/月,12-06
CIO/信息首席官/数据总经理,广州市倍儿行科技有限公司,https://jobs.51job.com/guangzhou-yxq/102322822.html?s=01&t=0,广州-越秀区,15.0-20.0千/月,12-07
生物信息工程师,苏州贝康医疗器械有限公司,https://jobs.51job.com/suzhou/108219482.html?s=01&t=0,异地招聘,8.0-15.0千/月,12-07
数据中心运维工程师,广州创显科教股份有限公司,https://jobs.51job.com/guangzhou-pyq/95608620.html?s=01&t=0,广州-番禺区,6.0-12.0千/月,12-07
数据开发工程师,广州青莲网络科技有限公司,https://jobs.51job.com/guangzhou-thq/104886659.html?s=01&t=0,广州-天河区,15.0-25.0千/月,12-07
Java开发工程师,广州艾美网络科技有限公司,https://jobs.51job.com/guangzhou-pyq/107150455.html?s=01&t=0,广州-番禺区,9.0-15.0千/月,12-07
PHP（数据 VIN组）,广州前实网络科技有限公司,https://jobs.51job.com/guangzhou-byq/104356327.html?s=01&t=0,广州-白云区,15.0-20.0千/月,12-07
市场调研专员,穗宝集团,https://jobs.51job.com/guangzhou-yxq/106605042.html?s=01&t=0,广州-越秀区,5-6千/月,12-07
运维开发,广州原力互娱网络科技有限公司,https://jobs.51job.com/guangzhou/107769011.html?s=01&t=0,广州,15.0-20.0千/月,12-07
数据产品经理,广州聚焦网络技术有限公司,https://jobs.51job.com/guangzhou/108528392.html?s=01&t=0,广州,10.0-20.0千/月,12-07
高级大数据工程师,广州数说故事信息科技有限公司,https://jobs.51job.com/guangzhou-thq/100927850.html?s=01&t=0,广州-天河区,20.0-30.0千/月,12-07
数据服务工程师（广州）,杭州数梦工场科技有限公司,https://jobs.51job.com/guangzhou-thq/107412672.html?s=01&t=0,广州-天河区,15.0-25.0千/月,12-07
大数据可视化工程师,广州蓝图地理信息技术有限公司,https://jobs.51job.com/guangzhou-thq/106935459.html?s=01&t=0,广州-天河区,8.0-10.0千/月,12-07
定位算法专家,龙浩机场集团有限公司,https://jobs.51job.com/guangzhou-thq/80305508.html?s=01&t=0,广州-天河区,15.0-20.0千/月,12-07
数据运营主管/专员,富力地产集团,https://jobs.51job.com/guangzhou-thq/103685644.html?s=01&t=0,广州-天河区,12.0-18.0千/月,12-07
高级测试工程师,广州市立熏电子商务有限公司,https://jobs.51job.com/guangzhou-thq/86159657.html?s=01&t=0,广州-天河区,10.0-15.0千/月,12-07
推荐算法工程师,广州美人信息技术有限公司,https://jobs.51job.com/guangzhou/98999318.html?s=01&t=0,广州,18.0-30.0千/月,12-07
算法实习生,广东亿迅科技有限公司,https://jobs.51job.com/guangzhou-hzq/107229919.html?s=01&t=0,广州-海珠区,1.8-2.6千/月,12-07
风控建模经理,广东粤科芮银信息科技有限公司,https://jobs.51job.com/guangzhou-thq/108555629.html?s=01&t=0,广州-天河区,20.0-25.0千/月,12-07
数据处理工程师,广州亿阳信息技术有限公司,https://jobs.51job.com/foshan-ccq/100915739.html?s=01&t=0,异地招聘,6.0-10.0千/月,12-07
高级数据工程师,香港新传媒集团,https://jobs.51job.com/guangzhou-yxq/102902860.html?s=01&t=0,广州-越秀区,18.0-25.0千/月,12-07
高级数据仓库工程师,掌上快销,https://jobs.51job.com/guangzhou/106885745.html?s=01&t=0,广州,16.0-30.0千/月,12-07
大气环境模型工程师,广州市香港科大霍英东研究院,https://jobs.51job.com/guangzhou-nsq/101838654.html?s=01&t=0,广州-南沙区,8.0-12.0千/月,12-07
数据需求工程师,深圳美云智数科技有限公司,https://jobs.51job.com/foshan/100237394.html?s=01&t=0,异地招聘,10.0-20.0千/月,12-07
网络应用交付工程师,高威电信（广州）有限公司,https://jobs.51job.com/guangzhou-yxq/105690664.html?s=01&t=0,广州-越秀区,5-8千/月,12-07
PHP开发工程师,上海圣识网络科技有限公司,https://jobs.51job.com/guangzhou/108732916.html?s=01&t=0,广州,8.0-10.0千/月,12-08
运维工程师,深圳云戈科技有限公司,https://jobs.51job.com/guangzhou-hzq/67718108.html?s=01&t=0,广州-海珠区,6-9千/月,12-07
数据工程师,广州河马游戏科技有限公司,https://jobs.51job.com/guangzhou-thq/103202089.html?s=01&t=0,广州-天河区,20.0-30.0千/月,12-08
数据开发工程师,广州维朗网络科技有限公司,https://jobs.51job.com/guangzhou/106259519.html?s=01&t=0,广州,15.0-20.0千/月,12-08
数据建模分析师,中经汇通电子商务有限公司,https://jobs.51job.com/guangzhou/105428743.html?s=01&t=0,广州,5.0-10.0千/月,12-08
产品运营（小程序）,广州康开医疗科技有限公司,https://jobs.51job.com/guangzhou-thq/105950064.html?s=01&t=0,广州-天河区,4-8千/月,12-08
生物信息工程师,云舟生物科技（广州）有限公司,https://jobs.51job.com/guangzhou-hpq/105599272.html?s=01&t=0,广州-黄埔区,8.0-10.0千/月,12-08
大数据开发工程师,广州艾米会电子商务有限公司,https://jobs.51job.com/guangzhou-thq/107899076.html?s=01&t=0,广州-天河区,10.0-15.0千/月,12-08
数据爬取工程师,广州研趣信息科技有限公司,https://jobs.51job.com/guangzhou-thq/108630985.html?s=01&t=0,广州-天河区,6-8千/月,12-08
测试工程师,广州市高奈特网络科技有限公司,https://jobs.51job.com/guangzhou-lwq/88329577.html?s=01&t=0,广州-荔湾区,10.0-15.0千/月,12-08
材料计算模拟工程师,TCL集团工业研究院,https://jobs.51job.com/guangzhou-hpq/105112731.html?s=01&t=0,广州-黄埔区,,12-08
GNSS测试工程师,广东星舆科技有限公司,https://jobs.51job.com/guangzhou-thq/105094426.html?s=01&t=0,广州-天河区,4-8千/月,12-09
生物信息学工程师,广州吉赛生物科技股份有限公司,https://jobs.51job.com/guangzhou/84378982.html?s=01&t=0,广州,6.0-12.0千/月,12-09
技术总监-区块链方向,广州久零区块链技术有限公司,https://jobs.51job.com/guangzhou-hpq/108445254.html?s=01&t=0,广州-黄埔区,30.0-50.0千/月,12-09
数据挖掘工程师,广州海晟科技有限公司,https://jobs.51job.com/dongguan/108195263.html?s=01&t=0,异地招聘,6.0-10.0千/月,12-09
人工智能工程师（AI大数据+智能机器人）,广东乐源数字技术有限公司,https://jobs.51job.com/guangzhou-hpq/98748151.html?s=01&t=0,广州-黄埔区,12.0-18.0千/月,12-09
PHP高级工程师,广东优德科技有限公司,https://jobs.51job.com/guangzhou-hzq/98206315.html?s=01&t=0,广州-海珠区,8.0-12.0千/月,12-09
人工智能开发工程师,广州君和信息技术有限公司,https://jobs.51job.com/guangzhou-yxq/94099374.html?s=01&t=0,广州-越秀区,10.0-20.0千/月,12-08
数据分析师,珠海市丝域连锁企业管理有限公司,https://jobs.51job.com/guangzhou-thq/107121261.html?s=01&t=0,广州-天河区,10.0-20.0千/月,12-06
数据分析师,广州真才教育信息咨询有限公司,https://jobs.51job.com/guangzhou-thq/108002810.html?s=01&t=0,广州-天河区,10.0-15.0千/月,11-03
数据分析师,高新兴科技集团股份有限公司,https://jobs.51job.com/guangzhou-hpq/86132731.html?s=01&t=0,广州-黄埔区,8.0-16.0千/月,11-09
产品线管理高级主管（数据分析与计划方向）(J10373),广州市斯凯奇商业有限公司,https://jobs.51job.com/guangzhou/104497362.html?s=01&t=0,广州,9.0-12.0千/月,11-27
数据分析师,广东海大集团股份有限公司,https://jobs.51job.com/guangzhou-pyq/107997219.html?s=01&t=0,广州-番禺区,10.0-15.0千/月,11-28
python讲师,北京千锋互联科技有限公司,https://jobs.51job.com/guangzhou-thq/104771741.html?s=01&t=0,广州-天河区,20.0-30.0千/月,11-08
数据分析师,青木数字技术股份有限公司,https://jobs.51job.com/guangzhou/108499060.html?s=01&t=0,广州,8.0-15.0千/月,11-27
高级数据分析师,手盟网络,https://jobs.51job.com/guangzhou-thq/101565396.html?s=01&t=0,广州-天河区,10.0-20.0千/月,12-01
安全数据分析工程师,北京启明星辰信息安全技术有限公司,https://jobs.51job.com/guangzhou/108237319.html?s=01&t=0,广州,10.0-20.0千/月,11-30
数据分析（BI）产品经理(J11764),金域检验集团,https://jobs.51job.com/guangzhou/106524088.html?s=01&t=0,广州,,12-03
数据分析师,魔橙互联（北京）科技有限公司广州...,https://jobs.51job.com/guangzhou-thq/106246402.html?s=01&t=0,广州-天河区,6.0-10.0千/月,12-03
数据分析主管,广东电声市场营销股份有限公司,https://jobs.51job.com/guangzhou-pyq/106740623.html?s=01&t=0,广州-番禺区,4.5-6千/月,12-03
数据分析师,广州花生日记网络科技有限公司,https://jobs.51job.com/guangzhou-hzq/102728594.html?s=01&t=0,广州-海珠区,15.0-30.0千/月,11-21
数据分析经理,广州二狼狐轩服饰有限公司,https://jobs.51job.com/guangzhou-pyq/108315556.html?s=01&t=0,广州-番禺区,20.0-40.0千/月,12-04
数据分析师（BI）,广州餐道信息科技有限公司,https://jobs.51job.com/guangzhou-lwq/100802363.html?s=01&t=0,广州-荔湾区,10.0-15.0千/月,12-04
海外游戏数据分析专员/主管,三七互娱,https://jobs.51job.com/guangzhou/84238071.html?s=01&t=0,广州,10.0-15.0千/月,12-05
ZBBU-数据分析师,广州酷狗计算机科技有限公司,https://jobs.51job.com/guangzhou-thq/100798100.html?s=01&t=0,广州-天河区,15.0-30.0千/月,12-04
数据分析师,广州大麦信息科技有限公司,https://jobs.51job.com/guangzhou-yxq/107193616.html?s=01&t=0,广州-越秀区,6.0-10.0千/月,12-07
高级数据分析师,广州市巴图鲁信息科技有限公司,https://jobs.51job.com/guangzhou-hzq/105952491.html?s=01&t=0,广州-海珠区,8.0-12.0千/月,12-06
数据分析助理经理,健合集团——广州总部,https://jobs.51job.com/guangzhou/100697986.html?s=01&t=0,广州,15.0-20.0千/月,12-07
数据分析专员（电商）,蓝月亮（中国）有限公司,https://jobs.51job.com/guangzhou/104627218.html?s=01&t=0,广州,6.0-12.0千/月,12-07
数据分析师,北京联龙博通电子商务技术有限公司,https://jobs.51job.com/guangzhou-yxq/104241570.html?s=01&t=0,广州-越秀区,9.0-18.0千/月,12-07
数据分析开发工程师,广州市恒流网络科技有限公司,https://jobs.51job.com/guangzhou/104950994.html?s=01&t=0,广州,8.0-13.0千/月,12-07
数据分析应届毕业生,广州神灯商务服务有限公司,https://jobs.51job.com/guangzhou-thq/104764115.html?s=01&t=0,广州-天河区,3-5千/月,12-07
Python开发工程师,广州市诚毅科技软件开发有限公司,https://jobs.51job.com/guangzhou/102490536.html?s=01&t=0,广州,8.0-12.0千/月,12-07
数据分析（项目管理）,广东乐数信息科技有限公司,https://jobs.51job.com/guangzhou-thq/85938930.html?s=01&t=0,广州-天河区,6-8千/月,12-07
Python高级开发工程师,广州天鹏计算机科技有限公司,https://jobs.51job.com/guangzhou-thq/100851029.html?s=01&t=0,广州-天河区,10.0-20.0千/月,12-07
SCRM数据分析师,名创优品（广州）有限责任公司,https://jobs.51job.com/guangzhou/103101190.html?s=01&t=0,广州,6.0-12.0千/月,12-07
高级数据分析师,欢聚时代（多玩YY）,https://jobs.51job.com/guangzhou-pyq/103597528.html?s=01&t=0,广州-番禺区,15.0-25.0千/月,12-07
数据分析工程师,广州中国科学院软件应用技术研究所,https://jobs.51job.com/guangzhou-nsq/106013405.html?s=01&t=0,广州-南沙区,8.0-12.0千/月,12-07
运营数据分析（电商）,广东黑网科技股份有限公司,https://jobs.51job.com/guangzhou-thq/104564816.html?s=01&t=0,广州-天河区,10.0-15.0千/月,12-07
大数据分析师1—企业信息化部,中数通信息有限公司,https://jobs.51job.com/guangzhou-thq/106239989.html?s=01&t=0,广州-天河区,7.0-12.0千/月,12-07
