job_name,company_name,region,hands_on_background,academic_requirement,how_many,extra_requirement,functional_categories,work_place,job_information,company_url,num_of_companies,job_url,申请
数据分析专员,广州市万表科技股份有限公司,广州-番禺区,1年经验,本科,招若干人,,   业务分析专员助理,  上班地址：番禺大道北60-1号,"['工作职责：', '1、负责业务数据的统计分析、报表编制及呈报，包括日/周/月/季/(半)年报等，实现日常数据可视化；', '2、负责WEB 端以及APP端的产品业务分析、用户行为分析、用户画像分析，通过分析挖掘业务，能够给产品端、业务端提供合理化的建议；', '3、了解销售订单处理过程，跟踪运营数据，发现业绩增长点和增长时机，及时对异常情况进行预警；', '4、分析结果指标，发现策略执行过程中的问题，并形成改进建议；', '5、领导交代的其它事宜', '', '任职要求：', '1、专科及以上学历，计算机、经济、统计、软件工程、信息管理、财务等相关专业，具备两年及以上的工作经验者优先考虑；', '2、熟练操作EXCEL（常规函数、数据透视表、图标制作等），可以用PPT撰写分析报告；', '3、在销售型公司工作过的人员优先考虑，对销售评估指标、业务管理核心指标清晰；', '4、良好的敬业精神、具有一定的分析和解决问题的能力；', '5、具备一定的管理能力和较好的沟通表达能力，善于协调公司内部各部门之间的关系；', '6、工作有条理，做事认真仔细、执行力强、有责任心。']",http://www.wbiao.cn,150-500人,https://jobs.51job.com/guangzhou-pyq/108432039.html?s=01&t=0,1
新媒体运营专员（数据分析）,广州路鑫信息技术有限公司,广州-海珠区,1年经验,大专,招1人,,   网站运营专员,  上班地址：广州市广州大道南788号广一电商园22号楼（玩车教授）,"['1、负责公司所有平台整体数据统计、分析工作，定期产出数据报表、分析报告；', '2、根据文章内容数据报告，对各大平台内容调性、选题方向提供建议和指导；', '3、研究运营数据和用户反馈，挖掘用户需求，发现运营中的问题并给出解决方案；', '4、协助量化优化公司内部绩效考核机制。', '5、通过恰当的方式和方法提升微信及第三方平台的各项关键指标。', '', '工作内容：', '1.稿量统计：编辑部编辑稿量日统计、周统计、月统计；', '2.微信数据统计分析及排名：玩车教授、车买买公众号数据日报（包括文章选题分析）；玩车教授、车买买、玩车TV数据周报（包括新榜排名数据）；每个编辑流量数据统计排名（月度）；', '3.三方平台数据及排名统计：3大一级平台：头条号、车家号、企鹅媒体平台每周文章阅读数据统计；每个编辑流量数据统计排名（月度）；', '4.统计微信标题关键词对阅读数据影响，并做作出对应分析报告；', '5.微信公众平台值班录入；', '6.上级安排的其他工作内容。']",http://www.chemm.com,50-150人,https://jobs.51job.com/guangzhou-hzq/104693536.html?s=01&t=0,1
数据分析师,圆通速递有限公司,广州-花都区,1年经验,大专,招若干人,,   财务分析员,  上班地址：花山镇两龙南街50号圆通速递3号门（导航搜索：圆通速递华南转运中心）,"['1、统计数据：负责根据全年预算规划进行日常数据统计分析，尤其是报告；', '2、规划数据分析：规划数据分析应用项目，开展并推动项目应用和发展；', '3、数据支持、分析：通过数据挖掘及归类，将各维度信息标签化，给产品及业务端提供数据支持；', '4、对接内外部资源：负责内外部资源收集、对接。', '5、领导安排的其他事务。', '任职要求：', '(1)学历及专业要求：大专或以上学历、会计、财务、物流管理、计算机、金融等相关专业均可；', '(2)通用知识与技能：熟练运用excel函数、宏等办公软件；', '(3)素质要求：学习能力强，有上进心，接受短期异地出差。  ']",http://www.yto.net.cn,10000人以上,https://jobs.51job.com/guangzhou-hdq/108831494.html?s=01&t=0,1
数据分析师,广州九龙维记牛奶有限公司,广州-黄埔区,1年经验,大专,招1人,普通话精通,   市场分析调研人员,  上班地址：广州经济技术开发区永和经济区田园西路38号,"['  ', '岗位要求：', '1、大专以上学历，统计学、数学等相关专业或有相关数据分析基础或者经验者；', '2、数据处理及分析能力强，熟悉Excel、PPT、等相关软件；', '3、对数据敏感，有较好的逻辑思维能力，能独立撰写数据分析报告；', '4、具备学习能力、较强的团队意识、责任感和上进心。', '岗位职责：', '1、配合部门从事系统分析开发工作，并定期整理交易数据，向上级领导分析结果；', ' 2、配合销售完成售前、售中、售后项目的分析设计工作；', ' 3、根据部门实际情况，规划设计活动；', ' 4、梳理运营与推广的业务需求，制定数据报表；', ' 5、挖掘数据背后的市场方向、规律、为运营提供决策依据；', '6、分析运营与推广需求，固化常规数据报表，提升数据支持运营与推广的能力；', '7、数据研究与分析，通过挖掘数据的内在关系，发现运营与推广中的问题，并推动问题 的解决；']",http://www.kowloondairy.com,150-500人,https://jobs.51job.com/guangzhou-hpq/105310554.html?s=01&t=0,1
销售数据分析员（双休、五险一金、提供吃住）,广东乐陶陶药业股份有限公司,广州-荔湾区,1年经验,大专,招1人,,   业务分析专员助理,  上班地址：西塱东西路工业区三号之一,"['', '岗位职责：', '1、能结合具体业务，依据内部外部的数据支持，给业务有利的建议；', '2、协助直接主管根据业务需求提供数据协助；', '3、对人均产出，以及日常拜访进行跟进；', '4、协助直接主管进行区域人员划分，指标制定，资源分配；', '5、协助直接主管提供专业的业务分析报告；', '6、跟踪并预测业务情况，对数据进行精细化分析，可以独立制作自动化分析报告供业务部门使用；', '7、协助制作内部分析模型， 包括指标分析，奖金分析，销售行为分析；', '8、协助直接主管制作其他分析报告；', '9、对日常销售，预估，区域，指标，拜访，微观数据维护进数据库', '', '任职资格：', '1、工作稳定；', '2、有销售助理、数据分析相关工作经验优先考虑；', '3、熟练使用office办公软件，需Excel十分熟练优先考虑；', '4、具备较强的工作责任心，出色的语言表达能力与沟通协调能力；', '5、具备较强的工作积极性和主动服务的意识；', '', '福利待遇：', '1、工资4000-6000；', '2、公司统一缴纳五险一金，弹性工作不加班、节日福利、年终奖金；', '3、每年享受带薪年假、法定节假日；', '', '']",http://www.gdletaotao.com/index.html,150-500人,https://jobs.51job.com/guangzhou-lwq/104569891.html?s=01&t=0,1
保险公司内勤文员(数据分析、资源整合、大专学历),广东隆信劳务服务有限公司,广州-天河区,无工作经验,大专,招若干人,,   销售代表,  上班地址：太古汇,[],http://www.longxin1111.com,150-500人,https://jobs.51job.com/guangzhou-thq/94794267.html?s=01&t=0,1
数据分析（项目管理）,广东乐数信息科技有限公司,广州-天河区,1年经验,大专,招1人,普通话熟练,   数据库工程师管理员,  上班地址：珠江新城黄埔大道西120号高志大厦8楼全层,"['职位描述：', '1、负责对接资方和企业方的尽职调查及相关资料、数据的汇整；', '2、负责外部机构项目合作中的商务计划书、PPT等编制；', '3、负责监测分析业务运营情况，产品中各项指标的统计，定期出具相关数据报表，需对数字保持高度敏感性；', '4、定期输出对接部门相关的报告，汇报每月对接部门运营情况，推动对接部门的业务优化；', '5、负责专项业务的分析与预测，KPI指标的制定与分解。', '6、专题分析，提供决策层，管理层和执行层所需的各类数据提取，专项分析和建议；', '7、发现公司产品的的业务风险和机会，及时回避风险提高资金回报率；', '', '职位要求：', '1、全日制本科以上学历，数据分析专业相关；（一年以上互联网金融行业经验者优先）；', '2、具有优秀的学习能力，条理清晰，有良好的表达能力及沟通能力，有较强的组织语言文字功底，数据分析和逻辑能力；', '3、做事认真细心，有上进心，有责任感，能承受工作压力，适应互联网公司的快节奏；', '4、熟悉SQLServer、Mysql、Python、office等微软数据库；（需熟悉SQL或Python）；']",http://fq.hydbest.com,150-500人,https://jobs.51job.com/guangzhou-thq/85938930.html?s=01&t=0,1
数据分析专员（高塘石）,广东立信企业有限公司,广州-天河区,1年经验,大专,招1人,英语良好'],   业务分析专员助理,  上班地址：高塘石,"['此职位隶属于立信集团下属子公司。', '岗位职责：', '1、 负责项目人员的薪酬数据收集及核准工作，并完成月度薪酬的计算；', '2、 负责内部工资审批流程，及时处理员工对工资、奖金答疑；', '3、 进行项目数据统计分析和预测，为班组长提供统计资料及分析资料；', '4、 负责为项目人员进行每月排班及日常调班，保证项目平稳运行；', '5、 负责与人事数据的收集和整理，及时更新各项人事数据，并输出人事报表；', '6、 协助完成项目月度结算，并完成内部结算流程；', '7、 完成上级交办的其他工作。', '任职要求', '1、 大专以上学历，1年以上薪酬绩效工作经验，有呼叫中心外包行业经验优先考虑；', '2、 熟练掌握Excel公式处理数据的方法及技术，能承担薪酬专业性项目；', '3、 具备良好的数据分析能力、分析判断能力、沟通表达能力；', '4、 具备较强的责任心、耐心、执行力、抗压力；具备较高的情商。']",http://www.revenco.com,5000-10000人,https://jobs.51job.com/guangzhou-thq/106530002.html?s=01&t=0,1
数据分析（初级）,深圳市优阅达数据科技有限公司,广州-天河区,无工作经验,本科,招2人,,   大数据开发分析,  上班地址：体育东路羊城国际商贸东塔3511,"['岗位职责：', '1、整合和分析网络营销数据，进行分析并用于指导网络营销；', '2、负责网络媒介投放监控、市场推广跟踪、广告效果评估等数据分析工作，制作阶段性报告；', '3、互联网大数据分析（了解金融、消费品等行业网络营销行业趋势，消费需求挖掘，网民行为洞察，进行大数据分析和挖掘） ；', '4、紧密跟踪互联网与移动互联网的发展现状与趋势，为公司在移动互联网背景下开展营销创新提供建议。', '', '任职要求：', '1、大学本科及以上学历，应用数学、统计学或相关专业，应届生亦可，使用Tableau者优先；', '2、熟悉各类数据分析方法，可以使用各类数据分析工具（Excel、Acess等）；', '3、能够熟练使用SQL等数据库，进行读取数据；', '4、对数据敏感，热爱数据整理、分析工作，较强的学习能力；', '5、优秀的团队合作精神和执行能力，强烈的责任心和正直严谨的工作态度。']",http://www.dkmeco.com,50-150人,https://jobs.51job.com/guangzhou-thq/102719056.html?s=01&t=0,1
数据分析师,广州博骏家居科技有限公司,广州-天河区,1年经验,大专,招1人,,   技术支持维护经理,  上班地址：广州市天河区中山大道中128号鸿利商务中心三楼348室,"['岗位职责：', '1.收集整理房地产行业数据，形成对定制家居行业有价值的数据报告。', '2.负责定制家居行业相关数据收集，提炼出对行业/企业有价值的数据分析报告。', '3.结合定制家居行业数据、业界观点和市场趋势，为长期业务发展方向提供战略层面的意见和建议。', '4.消费用户画像分析，负责用户调研、分析等数据商业价值挖掘工作。', '5. 完成上级交办工作，提供相关部门需求的数据支持。', '岗位要求：', '1. 统计学、经济学、信息学、数学与应用数学及其相关专业统招大专以上学历；', '2.良好的数据敏感度，1年以上数据分析报告制作经验，能快速将数据分析结果整合成逻辑清晰的PPT报告；', '3.对数据敏感，逻辑思维严密，有很好的分析能力和报告展示能力，有很好商业嗅觉；', '4.具有较好的沟通和协调能力，善于跨部门沟通协作，工作积极主动；', '6.精通Excel统计分析功能，熟练运用PPT输出分析报告；', '7.熟悉tableau/SPSS/SQL/SAS等至少一种统计分析软件。', '', '   此职位替广东省定制家居协会代招。', '   广东省定制家居协会是由广东省定制家居协会是由广东省从事定制家居行业的经济组织及相关单位自愿组成的、具有社团法人资格   的全省性、行业性社会组织，接受广东省民政厅的监督管理和广东省人民政府相关职能部门的业务指导。现广东省定制家居协会秘书处招聘数据分析师一名，福利待遇与广州博骏家居科技有限公司相同，欢迎有识之士应聘。']",http://www.bojunhome.com/,50-150人,https://jobs.51job.com/guangzhou-thq/92900752.html?s=01&t=0,1
数据分析师 - 广州,精硕科技(北京)股份有限公司,广州-天河区,无工作经验,本科,招5人,,   市场分析调研人员,  上班地址：马场路富力盈盛广场,"['1、负责广告项目监测数据的收集、整理、筛选，准时准确地完成报告；', '2、根据监测数据，及时发现问题并提出合理性解决方案及建议；', '3、维护现有客户关系，定期为既有客户进行网络广告最新行业动态的培训。', '', '任职要求：', '1、本科及以上学历，广告，市场营销、心理学、统计等相关专业优先；', '2、1年或以下工作经验(高级数据分析师)；', '3、拥有1年以上广告公司策划、数据分析、网站分析相关工作经验(高级数据分析师);1年或以下工作经验(数据分析师)；', '4、较强的沟通与表达能力；', '5、工作热情，有良好的服务意识和团队合作精神；', '6、学习能力强，有责任心，对数字敏感；', '7、优秀的英文听说读写能力，能熟练使用PPT和EXCEL。', '', '', '', '']",http://www.admaster.com.cn,150-500人,https://jobs.51job.com/guangzhou-thq/82899644.html?s=01&t=0,1
数据分析专员,广州市鑫翔贸易有限公司,广州-天河区,无工作经验,大专,招1人,,   市场分析调研人员,  上班地址：广州市天河区珠江新城华夏路28号富力盈信大厦2801室,"['岗位职责:', '1、负责天猫店日常运营维护和管理；', '2、负责天猫店日常对账单、报表类的制作，销售数据和财务数据分析；', '3、负责天猫店异常数据预警和解决建议；', '4、负责天猫店爆款数据监控和后期维护工作；', '5、结合电商平台消费品行业特点，进行行业市场分析与竞品分析，提出针对消费者的精准营销方向和策略；', '6、根据电商平台业务需求，完成专题性数据分析挖掘项目，形成报告和结论；', '7、了解电商平台营销活动，负责营销活动的数据提取、分析与效果评估；', '8、有专业的数据分析报告写作经验等优先考虑。', '', '任职资格:', '1、1年以上工作经验，电商、日化快消行业优先；', '2、熟悉数据分析，理科专业、计算机专业、市场营销类专业优先；', '3、熟练使用MicrosoftOffice，特别是Excel的公式/数据透视的使用；', '4、热爱线上购物，熟悉电商购买流程，了解消费者触点；', '5、有较强的数据敏感度，具备良好的逻辑分析、沟通协调、文字表达能力。', '', '可接受年后上岗！！！']",http://www.runben.com,150-500人,https://jobs.51job.com/guangzhou-thq/96064475.html?s=01&t=0,1可接受年后上岗
